Tout,Bottom,Mid,top,elbow,wrist
21.44,-0.000255733,0.000127867,0.000127866,0.000127867,0.000127866
21.46,-0.000212095,0.000106048,0.000106047,0.000106048,0.000106047
21.48,-0.000175873,8.79E-05,8.79E-05,8.79E-05,8.79E-05
21.5,-0.00014582,7.29E-05,7.29E-05,7.29E-05,7.29E-05
21.52,-0.000120876,6.04E-05,6.04E-05,6.04E-05,6.04E-05
21.54,-0.000100185,5.01E-05,5.01E-05,5.01E-05,5.01E-05
21.56,-8.30E-05,4.15E-05,4.15E-05,4.15E-05,4.15E-05
21.58,-6.88E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05
21.6,-5.70E-05,2.85E-05,2.85E-05,2.85E-05,2.85E-05
21.62,-4.72E-05,2.36E-05,2.36E-05,2.36E-05,2.36E-05
21.64,-3.91E-05,1.96E-05,1.96E-05,1.96E-05,1.96E-05
21.66,-3.24E-05,1.62E-05,1.62E-05,1.62E-05,1.62E-05
21.68,-2.68E-05,1.34E-05,1.34E-05,1.34E-05,1.34E-05
21.7,-2.22E-05,1.11E-05,1.11E-05,1.11E-05,1.11E-05
21.72,-1.84E-05,9.19E-06,9.19E-06,9.19E-06,9.19E-06
21.74,-1.52E-05,7.61E-06,7.61E-06,7.61E-06,7.61E-06
21.76,-1.26E-05,6.29E-06,6.29E-06,6.29E-06,6.29E-06
21.78,-1.04E-05,5.21E-06,5.21E-06,5.21E-06,5.21E-06
21.8,-8.62E-06,4.31E-06,4.31E-06,4.31E-06,4.31E-06
21.82,-7.13E-06,3.57E-06,3.57E-06,3.57E-06,3.57E-06
21.84,-5.90E-06,2.95E-06,2.95E-06,2.95E-06,2.95E-06
21.86,-4.88E-06,2.44E-06,2.44E-06,2.44E-06,2.44E-06
21.88,-4.04E-06,2.02E-06,2.02E-06,2.02E-06,2.02E-06
21.9,-3.34E-06,1.67E-06,1.67E-06,1.67E-06,1.67E-06
21.92,-2.76E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06
21.94,-2.28E-06,1.14E-06,1.14E-06,1.14E-06,1.14E-06
21.96,-1.89E-06,9.43E-07,9.43E-07,9.43E-07,9.43E-07
21.98,-1.56E-06,7.80E-07,7.80E-07,7.80E-07,7.80E-07
22,-1.29E-06,6.45E-07,6.45E-07,6.45E-07,6.45E-07
22.02,-1.07E-06,5.33E-07,5.33E-07,5.33E-07,5.33E-07
22.04,-8.81E-07,4.40E-07,4.40E-07,4.40E-07,4.40E-07
22.06,-7.28E-07,3.64E-07,3.64E-07,3.64E-07,3.64E-07
22.08,-6.01E-07,3.01E-07,3.01E-07,3.01E-07,3.01E-07
22.1,-4.97E-07,2.48E-07,2.48E-07,2.48E-07,2.48E-07
22.12,-4.11E-07,2.05E-07,2.05E-07,2.05E-07,2.05E-07
22.14,-3.39E-07,1.70E-07,1.70E-07,1.70E-07,1.70E-07
22.16,-2.80E-07,1.40E-07,1.40E-07,1.40E-07,1.40E-07
22.18,-2.31E-07,1.16E-07,1.16E-07,1.16E-07,1.16E-07
22.2,-1.91E-07,9.56E-08,9.56E-08,9.56E-08,9.56E-08
22.22,-1.58E-07,7.89E-08,7.89E-08,7.89E-08,7.89E-08
22.24,-1.30E-07,6.52E-08,6.52E-08,6.52E-08,6.52E-08
22.26,-1.08E-07,5.38E-08,5.38E-08,5.38E-08,5.38E-08
22.28,-8.89E-08,4.44E-08,4.44E-08,4.44E-08,4.44E-08
22.3,-7.34E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08
22.32,-6.06E-08,3.03E-08,3.03E-08,3.03E-08,3.03E-08
22.34,-5.00E-08,2.50E-08,2.50E-08,2.50E-08,2.50E-08
22.36,-4.13E-08,2.06E-08,2.06E-08,2.06E-08,2.06E-08
22.38,-3.41E-08,1.70E-08,1.70E-08,1.70E-08,1.70E-08
22.4,-2.81E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08
22.42,-2.32E-08,1.16E-08,1.16E-08,1.16E-08,1.16E-08
22.44,-1.91E-08,9.57E-09,9.57E-09,9.57E-09,9.57E-09
22.46,-1.58E-08,7.90E-09,7.90E-09,7.90E-09,7.90E-09
22.48,-1.30E-08,6.52E-09,6.52E-09,6.52E-09,6.52E-09
22.5,-1.08E-08,5.38E-09,5.38E-09,5.38E-09,5.38E-09
22.52,-8.87E-09,4.44E-09,4.44E-09,4.44E-09,4.44E-09
22.54,-7.32E-09,3.66E-09,3.66E-09,3.66E-09,3.66E-09
22.56,-6.04E-09,3.02E-09,3.02E-09,3.02E-09,3.02E-09
22.58,-4.98E-09,2.49E-09,2.49E-09,2.49E-09,2.49E-09
22.6,-4.11E-09,2.05E-09,2.05E-09,2.05E-09,2.05E-09
22.62,-3.39E-09,1.69E-09,1.69E-09,1.69E-09,1.69E-09
22.64,-2.80E-09,1.40E-09,1.40E-09,1.40E-09,1.40E-09
