t_ms_full,bottom_raw,mid_raw,top_raw,elbow_raw,wrist_raw,bottom_tx,mid_tx,top_tx,elbow_tx,wrist_tx
5041,31.5096580967023,2.23145421997438,-25.3208060068702,0,0,32,2,-25,0,0
5042,31.5286391082363,2.19309596912421,-25.3009903937291,0,0,32,2,-25,0,0
5042,31.5472885006019,2.15465528213931,-25.2809880285776,0,0,32,2,-25,0,0
5043,31.5659378929674,2.1162145951544,-25.260985663426,0,0,32,2,-25,0,0
5043,31.584587285333,2.07777390816943,-25.2409832982745,0,0,32,2,-25,0,0
5044,31.6031584962636,2.03931386985035,-25.2209371893079,0,0,32,2,-25,0,0
5044,31.6214892044909,2.00079431646848,-25.200756563946,0,0,32,2,-25,0,0
5045,31.6396960783284,1.96224421888105,-25.1805070316852,0,0,32,2,-25,0,0
5045,31.6577387806164,1.92365371392998,-25.1601664664724,0,0,32,2,-25,0,0
5046,31.6757032429798,1.88504399509812,-25.1397826827356,0,0,32,2,-25,0,0
5046,31.6935294618331,1.84640033233092,-25.1193225561325,0,0,32,2,-25,0,0
5047,31.7112309315585,1.80772612332816,-25.0987938740143,0,0,32,2,-25,0,0
5047,31.7288189060464,1.76902412373217,-25.0782028209232,0,0,32,2,-25,0,0
5048,31.7462815983771,1.73029153665497,-25.0575432911308,0,0,32,2,-25,0,0
5048,31.7636037025645,1.69152462515942,-25.0368069186934,0,0,32,2,-25,0,0
5049,31.7808432303246,1.65273762652755,-25.0160257401668,0,0,32,2,-25,0,0
5049,31.7977765280094,1.61387613587088,-24.995078400757,0,0,32,2,-25,0,0
5050,31.8147098256942,1.57501464521416,-24.9741310613471,0,0,32,2,-25,0,0
5050,31.831643123379,1.53615315455749,-24.9531837219373,0,0,32,2,-25,0,0
5051,31.8485106195607,1.49727571407491,-24.9322009226449,0,0,32,1,-25,0,0
5051,31.8650979573096,1.45833036514001,-24.9110671483038,0,0,32,1,-25,0,0
5052,31.8815611894128,1.41935506662542,-24.8898669185106,0,0,32,1,-25,0,0
5052,31.8979328468049,1.3803576875197,-24.8686177105347,0,0,32,1,-25,0,0
5053,31.9140911751817,1.34130900070907,-24.8472548116973,0,0,32,1,-25,0,0
5053,31.9302495035585,1.30226031389852,-24.8258919128599,0,0,32,1,-25,0,0
5054,31.9460727370013,1.26313140485874,-24.8043516434725,0,0,32,1,-25,0,0
5054,31.9618449586508,1.22399028351915,-24.7827843728119,0,0,32,1,-25,0,0
5055,31.9776171803002,1.18484916217962,-24.7612171021513,0,0,32,1,-25,0,0
5055,31.9933894019496,1.14570804084009,-24.7396498314908,0,0,32,1,-25,0,0
5056,32.0088582556367,1.10649459367603,-24.7179230142502,0,0,32,1,-25,0,0
5056,32.024194958666,1.06724973237743,-24.6961270260928,0,0,32,1,-25,0,0
5057,32.0393880532507,1.02797080236591,-24.6742561266014,0,0,32,1,-25,0,0
5057,32.0545105516854,0.988675132421953,-24.6523484310012,0,0,32,1,-25,0,0
5058,32.0694236402351,0.949329922811188,-24.6303320382005,0,0,32,1,-25,0,0
5058,32.0843161921346,0.909979854887321,-24.6083049855575,0,0,32,1,-25,0,0
5059,32.0989534820098,0.870569561970059,-24.5861460916463,0,0,32,1,-25,0,0
5059,32.1135871748047,0.831158420379117,-24.5639853398652,0,0,32,1,-25,0,0
5060,32.1278986870674,0.79167153552893,-24.5416593105146,0,0,32,1,-25,0,0
5060,32.142148693159,0.752170190842096,-24.5193017286975,0,0,32,1,-25,0,0
5061,32.1563986992507,0.712668846155191,-24.4969441468803,0,0,32,1,-24,0,0
5061,32.1706487053423,0.673167501468356,-24.4745865650631,0,0,32,1,-24,0,0
5062,32.1845645402042,0.633587917975726,-24.4520586648328,0,0,32,1,-24,0,0
5062,32.1983806201142,0.593985072912074,-24.429480196055,0,0,32,1,-24,0,0
5063,32.2120930437335,0.554358067243156,-24.4068492122921,0,0,32,1,-24,0,0
5063,32.225577594527,0.514678122469424,-24.3841033014165,0,0,32,1,-24,0,0
5064,32.2390520394536,0.474995829914342,-24.361352293671,0,0,32,0,-24,0,0
5064,32.2522268497001,0.43524424012637,-24.3384511428708,0,0,32,0,-24,0,0
5065,32.265311026846,0.395471689403278,-24.3155045769984,0,0,32,0,-24,0,0
5065,32.2783952039918,0.355699138680186,-24.2925580111261,0,0,32,0,-24,0,0
5066,32.2914793811378,0.315926587957023,-24.2696114452537,0,0,32,0,-24,0,0
5066,32.3042666740517,0.276085654908979,-24.2465170240271,0,0,32,0,-24,0,0
5067,32.3169123171798,0.236212181847068,-24.2233523537468,0,0,32,0,-24,0,0
5067,32.3294116358199,0.196305167181974,-24.200115370831,0,0,32,0,-24,0,0
5068,32.3418409807936,0.156382120335451,-24.1768438348985,0,0,32,0,-24,0,0
5068,32.3540488336276,0.116408439898209,-24.1534633475578,0,0,32,0,-24,0,0
5069,32.3662145468982,0.0764251484358316,-24.1300622171904,0,0,32,0,-24,0,0
5069,32.3781636712669,0.0363924712818299,-24.1065550360185,0,0,32,0,-24,0,0
5070,32.3900886496991,-0.00364569634479108,-24.0830360921545,0,0,32,-0,-24,0,0
5070,32.4017541187812,-0.0437428730302997,-24.0593907283183,0,0,32,-0,-24,0,0
5071,32.4134195878632,-0.083840049715737,-24.0357453644822,0,0,32,-0,-24,0,0
5071,32.424747415999,-0.124013619708485,-24.0119366696879,0,0,32,-0,-24,0,0
5072,32.4359982278394,-0.164204615104197,-23.9880907189106,0,0,32,-0,-24,0,0
5072,32.4472490396798,-0.204395610499837,-23.9642447681334,0,0,32,-0,-24,0,0
5073,32.4584998515202,-0.244586605895476,-23.9403988173562,0,0,32,-0,-24,0,0
5073,32.4694663934018,-0.284841582370989,-23.9164162601517,0,0,32,-0,-24,0,0
5074,32.4803039948562,-0.325125534474476,-23.8923718669224,0,0,32,-0,-24,0,0
5074,32.490980390709,-0.3654456049618,-23.8682504663394,0,0,32,-0,-24,0,0
5075,32.5014907566546,-0.405802755678596,-23.8440501031848,0,0,33,-0,-24,0,0
5075,32.5119158342677,-0.446178954234504,-23.8198091775425,0,0,33,-0,-24,0,0
5076,32.5221683012153,-0.486593534733548,-23.7954866770277,0,0,33,-0,-24,0,0
5076,32.5321828649231,-0.527061015721822,-23.771051744721,0,0,33,-1,-24,0,0
5077,32.542197428631,-0.567528496710167,-23.7466168124141,0,0,33,-1,-24,0,0
5077,32.5522119923388,-0.607995977698441,-23.7221818801073,0,0,33,-1,-24,0,0
5078,32.5620634316533,-0.648499589643274,-23.69767031408,0,0,33,-1,-24,0,0
5078,32.5716896362783,-0.689053056247852,-23.6730530488775,0,0,33,-1,-24,0,0
5079,32.5811817153313,-0.729636126588263,-23.6483731289187,0,0,33,-1,-24,0,0
5079,32.5905065191784,-0.770256059919489,-23.623615273559,0,0,33,-1,-24,0,0
5080,32.5997284610297,-0.81089861185794,-23.5988096761855,0,0,33,-1,-24,0,0
5080,32.6088095154151,-0.851572143928982,-23.5739386877869,0,0,33,-1,-24,0,0
5081,32.6177568955581,-0.892274977954515,-23.5490059425974,0,0,33,-1,-24,0,0
5081,32.6265637257887,-0.93300862111032,-23.524008264094,0,0,33,-1,-24,0,0
5082,32.6352363919065,-0.973771510926941,-23.4989490002376,0,0,33,-1,-23,0,0
5082,32.6436368616778,-1.01459373728312,-23.473764790092,0,0,33,-1,-23,0,0
5083,32.652037331449,-1.05541596363929,-23.4485805799464,0,0,33,-1,-23,0,0
5083,32.6604378012203,-1.09623818999554,-23.4233963698007,0,0,33,-1,-23,0,0
5084,32.6686772019805,-1.13709535067333,-23.3981386693807,0,0,33,-1,-23,0,0
5084,32.6767135385053,-1.17799655403361,-23.3727883177033,0,0,33,-1,-23,0,0
5085,32.6845599772825,-1.21893876408574,-23.3473517946573,0,0,33,-1,-23,0,0
5085,32.6922876822082,-1.25990654337654,-23.3218615854455,0,0,33,-1,-23,0,0
5086,32.6998679958335,-1.30090605091401,-23.2963047663038,0,0,33,-1,-23,0,0
5086,32.7073604649651,-1.34192438749759,-23.2707084802631,0,0,33,-1,-23,0,0
5087,32.7145290227543,-1.38301215292419,-23.2449666668745,0,0,33,-1,-23,0,0
5087,32.7216975805436,-1.42409991835079,-23.2192248534858,0,0,33,-1,-23,0,0
5088,32.7288661383329,-1.46518768377739,-23.1934830400972,0,0,33,-1,-23,0,0
5088,32.7359174328866,-1.50630048751199,-23.167688833363,0,0,33,-2,-23,0,0
5089,32.7427149828558,-1.54746745195125,-23.1417813146291,0,0,33,-2,-23,0,0
5089,32.7493787623867,-1.58866288866762,-23.115814314228,0,0,33,-2,-23,0,0
5090,32.7558575332056,-1.62989763288362,-23.0897652827044,0,0,33,-2,-23,0,0
5090,32.7622439817756,-1.67115194798692,-23.0636754584151,0,0,33,-2,-23,0,0
5091,32.7684852569897,-1.71243703759399,-23.0375214889953,0,0,33,-2,-23,0,0
5091,32.7745800210858,-1.75375306955798,-23.0113030569504,0,0,33,-2,-23,0,0
5092,32.7805538445165,-1.79509464353722,-22.9850314128842,0,0,33,-2,-23,0,0
5092,32.7863861753942,-1.83646596597781,-22.9586978075394,0,0,33,-2,-23,0,0
5093,32.792061856402,-1.87787022366843,-22.9322956033457,0,0,33,-2,-23,0,0
5093,32.7976534733957,-1.91929205419304,-22.9058568185933,0,0,33,-2,-23,0,0
5094,32.8028938013667,-1.96078731856174,-22.8792651699919,0,0,33,-2,-23,0,0
5094,32.8081341293377,-2.00228258293052,-22.8526735213904,0,0,33,-2,-23,0,0
5095,32.8133744573087,-2.04377784729922,-22.8260818727889,0,0,33,-2,-23,0,0
5095,32.8185639549038,-2.08528368334947,-22.7994682345229,0,0,33,-2,-23,0,0
5096,32.8234174974472,-2.12685939119906,-22.7727092591672,0,0,33,-2,-23,0,0
5096,32.8281484590199,-2.16846048245426,-22.7458975323183,0,0,33,-2,-23,0,0
5097,32.8327847601385,-2.21008117421139,-22.7190450726405,0,0,33,-2,-23,0,0
5097,32.8371601165964,-2.2517557355869,-22.6920807529753,0,0,33,-2,-23,0,0
5098,32.8415354730543,-2.29343029696249,-22.66511643331,0,0,33,-2,-23,0,0
5098,32.8455857594606,-2.33517168755987,-22.638013534524,0,0,33,-2,-23,0,0
5099,32.849532109497,-2.37693444581843,-22.6108663271014,0,0,33,-2,-23,0,0
5099,32.8534784595335,-2.41869720407707,-22.5837191196787,0,0,33,-2,-23,0,0
5100,32.8574248095699,-2.46045996233564,-22.5565719122561,0,0,33,-2,-23,0,0
5100,32.8610872722299,-2.50228086704677,-22.529304310114,0,0,33,-3,-23,0,0
5101,32.8645769403729,-2.54413709315473,-22.5019636168753,0,0,33,-3,-23,0,0
5101,32.8679160340871,-2.58602399858676,-22.4745594574228,0,0,33,-3,-22,0,0
5102,32.8711426349491,-2.6279337946423,-22.4471079401118,0,0,33,-3,-22,0,0
5102,32.8741855862248,-2.66988082390347,-22.4195793744619,0,0,33,-3,-22,0,0
5103,32.8771580387954,-2.71184214610599,-22.3920212317886,0,0,33,-3,-22,0,0
5103,32.8799078086151,-2.75384842388987,-22.364370046606,0,0,33,-3,-22,0,0
5104,32.8825945038911,-2.79586743527246,-22.336692507277,0,0,33,-3,-22,0,0
5104,32.8850223268589,-2.83793842068466,-22.308907402462,0,0,33,-3,-22,0,0
5105,32.8872862003941,-2.88004232237398,-22.2810541740981,0,0,33,-3,-22,0,0
5105,32.8895500739293,-2.92214622406329,-22.2532009457342,0,0,33,-3,-22,0,0
5106,32.8918139474645,-2.96425012575268,-22.2253477173702,0,0,33,-3,-22,0,0
5106,32.8938101056099,-3.00640751229164,-22.197383822823,0,0,33,-3,-22,0,0
5107,32.8956559591347,-3.04859489334757,-22.1693578727261,0,0,33,-3,-22,0,0
5107,32.8973291240026,-3.0908166277872,-22.1412608698485,0,0,33,-3,-22,0,0
5108,32.8988287037586,-3.13307278933253,-22.1130926927198,0,0,33,-3,-22,0,0
5108,32.9002412294257,-3.17534621630054,-22.0848888212305,0,0,33,-3,-22,0,0
5109,32.9014591638943,-3.21765807736591,-22.0566055568659,0,0,33,-3,-22,0,0
5109,32.9024453478658,-3.26001571193597,-22.028227738696,0,0,33,-3,-22,0,0
5110,32.9034315318374,-3.30237334650602,-21.9998499205261,0,0,33,-3,-22,0,0
5110,32.9044177158089,-3.34473098107616,-21.9714721023561,0,0,33,-3,-22,0,0
5111,32.9052025729766,-3.38712822165834,-21.9430125266937,0,0,33,-3,-22,0,0
5111,32.9057689858154,-3.4295683785615,-21.9144643511478,0,0,33,-3,-22,0,0
5112,32.9061905358043,-3.4720368786979,-21.885857636164,0,0,33,-3,-22,0,0
5112,32.9064635419472,-3.51453438053928,-21.857190997855,0,0,33,-4,-22,0,0
5113,32.906589798815,-3.55706042988705,-21.8284653380614,0,0,33,-4,-22,0,0
5113,32.9066174505972,-3.59960566113072,-21.7997000200239,0,0,33,-4,-22,0,0
